1	1 1 
1	2 
1	3 2 2 4 2 2 2 3 3 
1	5 
1	1 
1	6 
1	1 1 
1	6 
1	6 7 7 7 6 6 8 8 8 8 
1	6 9 4 4 4 10 3 10 5 10 4 4 4 
2	3 
2	13 
2	9 7 9 7 7 9 12 6 10 13 14 12 3 
2	1 5 5 5 
2	14 14 14 14 
2	14 14 14 
2	4 4 10 10 10 10 2 2 2 2 10 12 12 10 7 7 1 10 
2	1 1 
2	1 1 
2	4 4 9 9 3 
3	12 9 9 9 
3	4 
3	8 8 8 8 8 
3	6 15 6 
3	13 13 
3	1 11 1 6 
3	6 6 6 6 6 6 6 6 6 6 
3	9 8 
3	8 8 2 8 
3	16 16 
4	3 
4	1 
4	14 14 14 
4	12 
4	1 1 6 
4	6 
4	4 
4	4 4 
4	1 4 10 10 10 11 1 2 1 1 5 6 1 1 1 
4	1 14 
5	9 7 9 9 
5	8 8 8 8 8 8 8 8 8 8 8 
5	10 2 12 12 12 
5	1 1 1 1 1 1 
5	8 8 8 
5	3 3 
5	13 
5	8 14 14 
5	6 
5	14 14 14 14 14 14 14 14 14 14 14 14 
6	13 13 13 
6	1 1 1 3 3 1 1 1 2 1 1 
6	1 
6	4 8 8 
6	1 6 
6	9 
6	9 9 1 7 7 9 7 1 4 4 4 4 4 7 2 4 2 
6	1 2 1 1 2 2 1 11 1 1 1 1 1 1 1 1 1 1 1 1 1 
6	13 
6	9 
7	6 6 
7	8 8 11 11 8 8 8 8 
7	1 
7	9 5 5 5 5 5 5 9 5 5 5 9 5 5 5 5 
7	8 
7	9 3 9 
7	6 
7	2 2 
7	9 4 
7	9 9 3 1 9 4 4 9 
8	13 13 13 13 13 13 13 14 13 14 13 13 13 13 14 14 14 
8	9 7 9 1 1 1 11 11 11 17 11 11 11 11 17 11 11 11 
8	1 1 12 14 
8	9 11 
8	6 
8	6 
8	15 
8	6 
8	12 12 12 12 12 12 
8	6 15 7 7 7 6 15 6 15 5 
9	1 6 6 6 
9	11 
9	1 1 1 1 2 2 2 1 2 1 
9	1 11 
9	1 5 11 
9	13 13 7 
9	12 2 
9	12 12 12 
9	14 14 14 
9	2 
10	2 15 10 15 
10	2 
10	6 6 6 6 6 6 1 
10	12 
10	14 14 14 
10	1 
10	1 14 14 
10	1 
10	6 
10	1 6 6 6 
